genre_code,c
no_name:foreign_publicism,14
no_name:fanfiction,14
no_name:humor_satire,14
no_name:dragon_fantasy,14
no_name:fantasy,12
no_name:love_hard,12
no_name:notes,12
no_name:psy_generic,12
no_name:military_special,10
no_name:management,10
no_name:aphorisms,9
no_name:sci_fi,9
no_name:popadantsy,9
no_name:military_history,9
no_name:sf_stimpank,8
no_name:psy_sex_and_family,8
no_name:fantasy_action,8
no_name:foreign_edu,7
no_name:economics,7
no_name:psy_childs,7
no_name:sf_etc,7
no_name:postapocalyptic,7
no_name:sci_pedagogy,7
no_name:,6
no_name:sci_popular,6
no_name:periodic,6
no_name:essay,6
no_name:roman,6
no_name:vampire_book,6
no_name:personal_finance,6
no_name:psy_social,6
no_name:foreign_business,6
no_name:unfinished,5
no_name:prose_abs,5
no_name:sci_philology,5
no_name:great_story,4
"no_name:Короткий любовный роман",4
no_name:cine,4
no_name:popadantsy_vo_vremeni,4
no_name:Проза,4
no_name:song_poetry,4
no_name:music_dancing,4
no_name:foreign_religion,4
no_name:org_behavior,3
no_name:religion_catholicism,3
no_name:urban_fantasy,3
"no_name:Современная проза",3
no_name:sci_cosmos,3
no_name:upbringing_book,3
"no_name:
                    POV",3
no_name:dark_fantasy,3
no_name:foreign_home,3
no_name:stock,3
no_name:Litrpg,3
no_name:art_criticism,3
no_name:theatre,3
no_name:sf_technofantasy,3
no_name:cinema_theatre,3
no_name:unrecognised,3
"no_name:
                    AU
",3
no_name:det_cozy,2
no_name:visual_arts,2
no_name:foreign_language,2
no_name:N/K,2
no_name:story,2
no_name:foreign_adventure,2
no_name:comics,2
no_name:geo_guide,2
no_name:sci_social_studies,2
no_name:scenarios,2
no_name:ya,2
no_name:screenplays,2
no_name:fairy_tale,1
no_name:sf_fantasy_irony,1
"no_name:Пропадал и нашелся",1
no_name:military_weapon,1
no_name:prose_sentimental,1
no_name:steampunk,1
no_name:job_hunting,1
no_name:Ronobe,1
no_name:sf_litprg,1
no_name:sci_state,1
"no_name:ЛЮБОВЬ НАБИРАЕТ СИЛУ",1
no_name:folk_songs,1
no_name:poetry_rus_modern,1
no_name:Ангст,1
no_name:ХРАНИТЕЛИ,1
no_name:epistolary_fiction,1
no_name:nonf_military,1
no_name:sf_all,1
"no_name:Любовь, созидающая дом",1
no_name:marketing,1
no_name:small_business,1
"no_name:Боевое фэнтези",1
no_name:PWP,1
no_name:foreign_desc,1
"no_name:Героическое фэнтези",1
no_name:other,1
no_name:sf_irony,1
"no_name:Романтическая эротика",1
no_name:adv_all,1
no_name:psy_alassic,1
no_name:ЛитРПГ,1
no_name:sf_space_opera,1
no_name:Фантастика,1
no_name:epic_fantasy,1
no_name:foreign_poetry,1
no_name:narrative,1
"no_name:ЛЮБОВЬ ПРИХОДИТ ДОМОЙ",1
no_name:folk_tale,1
no_name:sci_economy,1
"no_name:Ангст, Драма, Даркфик",1
no_name:erotica,1
no_name:non_fiction,1
no_name:sf_erotika,1
no_name:Постапокалипсис,1
no_name:sociology_book,1
"no_name:ВЕЧНОЕ НАСЛЕДСТВО ЛЮБВИ",1
no_name:cyberpunk,1
